titulo,ano,diretor,duracao,cor,generos,pais,classificacao,orcamento,receita,nota_imdb,likes_facebook,ator_1,ator_2,ator_3
Batman v Superman: Dawn of Justice,2016,Zack Snyder,183,Color,Action|Adventure|Sci-Fi,USA,A partir de 13 anos,250000000,330249062,6.9,197000,Henry Cavill,Lauren Cohan,Alan D. Purwin
Captain America: Civil War,2016,Anthony Russo,147,Color,Action|Adventure|Sci-Fi,USA,A partir de 13 anos,250000000,407197282,8.2,72000,Robert Downey Jr.,Scarlett Johansson,Chris Evans
Star Trek Beyond,2016,Justin Lin,122,Color,Action|Adventure|Sci-Fi|Thriller,USA,A partir de 13 anos,185000000,130468626,7.5,30000,Sofia Boutella,Melissa Roxburgh,Lydia Wilson
The Legend of Tarzan,2016,David Yates,110,Color,Action|Adventure|Drama|Romance,USA,A partir de 13 anos,180000000,124051759,6.6,29000,Christoph Waltz,Alexander Skarsgård,Casper Crump
X-Men: Apocalypse,2016,Bryan Singer,144,Color,Action|Adventure|Sci-Fi,USA,A partir de 13 anos,178000000,154985087,7.3,54000,Jennifer Lawrence,Michael Fassbender,Tye Sheridan
Suicide Squad,2016,David Ayer,123,Color,Action|Adventure|Comedy|Sci-Fi,USA,A partir de 13 anos,175000000,161087183,6.9,80000,Will Smith,Robin Atkin Downes,Ike Barinholtz
Independence Day: Resurgence,2016,Roland Emmerich,120,Color,Action|Adventure|Sci-Fi,USA,A partir de 13 anos,165000000,102315545,5.5,67000,Vivica A. Fox,Sela Ward,Judd Hirsch
Alice Through the Looking Glass,2016,James Bobin,113,Color,Adventure|Family|Fantasy,USA,Livre,170000000,76846624,6.4,30000,Johnny Depp,Alan Rickman,Anne Hathaway
Warcraft,2016,Duncan Jones,123,Color,Action|Adventure|Fantasy,USA,A partir de 13 anos,160000000,46978995,7.3,89000,Dominic Cooper,Callum Rennie,Ruth Negga
The Legend of Tarzan,2016,David Yates,110,Color,Action|Adventure|Drama|Romance,USA,A partir de 13 anos,180000000,124051759,6.6,29000,Christoph Waltz,Alexander Skarsgård,Casper Crump
Ghostbusters,2016,Paul Feig,116,Color,Action|Comedy|Fantasy|Sci-Fi,USA,A partir de 13 anos,144000000,118099659,5.5,62000,Ed Begley Jr.,Kate McKinnon,Zach Woods
Kung Fu Panda 3,2016,Alessandro Carloni,95,Color,Action|Adventure|Animation|Comedy|Family,USA,Livre,145000000,143523463,7.2,24000,J.K. Simmons,Angelina Jolie Pitt,Wayne Knight
Gods of Egypt,2016,Alex Proyas,126,Color,Action|Adventure|Fantasy,USA,A partir de 13 anos,140000000,31141074,5.5,24000,Gerard Butler,Elodie Yung,Bryan Brown
The Huntsman: Winter's War,2016,Cedric Nicolas-Troyan,120,Color,Action|Adventure|Drama|Fantasy,USA,A partir de 13 anos,115000000,47952020,6.1,16000,Chris Hemsworth,Sam Claflin,Charlize Theron
Teenage Mutant Ninja Turtles: Out of the Shadows,2016,Dave Green,112,Color,Action|Adventure|Comedy|Sci-Fi,USA,A partir de 13 anos,135000000,81638674,6.3,12000,Stephen Amell,Noel Fisher,Brad Garrett
Allegiant,2016,Robert Schwentke,120,Color,Action|Adventure|Mystery|Sci-Fi|Thriller,USA,A partir de 13 anos,110000000,66002193,5.8,12000,Naomi Watts,Theo James,Zoë Kravitz
Ben-Hur,2016,Timur Bekmambetov,141,Color,Adventure|Drama|History,USA,A partir de 13 anos,NA,NA,6.1,0,Morgan Freeman,Ayelet Zurer,Moises Arias
Now You See Me 2,2016,Jon M. Chu,129,Color,Action|Adventure|Comedy|Crime|Mystery|Thriller,USA,A partir de 13 anos,90000000,64685359,6.9,15000,Daniel Radcliffe,Morgan Freeman,Sanaa Lathan
The Angry Birds Movie,2016,Clay Kaytis,97,Color,Action|Animation|Comedy|Family,USA,Livre,73000000,107225164,6.3,14000,Peter Dinklage,Josh Gad,Keegan-Michael Key
The Finest Hours,2016,Craig Gillespie,117,Color,Action|Drama|History|Thriller,USA,A partir de 13 anos,NA,27550735,6.8,12000,Michael Raymond-James,Abraham Benrubi,Graham McTavish
Deadpool,2016,Tim Miller,108,Color,Action|Adventure|Comedy|Romance|Sci-Fi,USA,A partir de 18 anos,58000000,363024263,8.1,117000,Ryan Reynolds,Ed Skrein,Stefan Kapicic
Central Intelligence,2016,Rawson Marshall Thurber,107,Color,Action|Comedy|Crime,USA,A partir de 13 anos,50000000,126088877,6.6,10000,Dwayne Johnson,Thomas Kretschmann,Megan Park
13 Hours,2016,Michael Bay,144,Color,Action|Drama|Thriller|War,USA,A partir de 18 anos,50000000,52822418,7.4,44000,Toby Stephens,James Badge Dale,David Costabile
Free State of Jones,2016,Gary Ross,139,Color,Action|Biography|Drama|History|War,USA,A partir de 18 anos,50000000,20389967,6.7,10000,Matthew McConaughey,Donald Watkins,Jessica Collins
Zoolander 2,2016,Ben Stiller,102,Color,Comedy,USA,A partir de 13 anos,50000000,28837115,4.8,28000,Milla Jovovich,Will Ferrell,Justin Theroux
